epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,54537,1.26272,0.89335,1.02442,0.62447,0.53187,0.55906,0.35262,1.28656,0.94927,1.05459,0.000297062,0.000297062,0.000297062
140,54923.9,1.25634,0.8898,1.02123,0.62314,0.53172,0.55907,0.35246,1.28648,0.94925,1.0546,0.000291248,0.000291248,0.000291248
141,55316.7,1.26407,0.89317,1.02417,0.62399,0.5311,0.55911,0.35258,1.2866,0.94933,1.05465,0.000285497,0.000285497,0.000285497
142,55718.2,1.26121,0.89338,1.02272,0.62808,0.53046,0.55929,0.35253,1.28668,0.94923,1.05466,0.000279811,0.000279811,0.000279811
143,56109,1.2569,0.88747,1.02489,0.62384,0.53296,0.55925,0.35244,1.28667,0.94944,1.05471,0.000274192,0.000274192,0.000274192
144,56504.7,1.25519,0.88284,1.02279,0.62236,0.53505,0.5589,0.35212,1.28684,0.94949,1.05476,0.000268641,0.000268641,0.000268641
145,56891.8,1.26292,0.89001,1.02398,0.62568,0.53333,0.55924,0.35224,1.28704,0.94965,1.05489,0.000263159,0.000263159,0.000263159
146,57278,1.25364,0.88482,1.02216,0.63013,0.53133,0.55885,0.35174,1.28735,0.94966,1.05501,0.000257748,0.000257748,0.000257748
147,57679.5,1.26171,0.8848,1.02262,0.62963,0.53173,0.55898,0.35153,1.28785,0.9496,1.05518,0.00025241,0.00025241,0.00025241
148,58071.3,1.25372,0.8792,1.02153,0.62898,0.5322,0.5588,0.35144,1.28839,0.94976,1.05529,0.000247144,0.000247144,0.000247144
149,58474.6,1.25558,0.88508,1.02304,0.63003,0.53112,0.55899,0.3515,1.28876,0.94979,1.05534,0.000241954,0.000241954,0.000241954
150,58860.6,1.24965,0.87384,1.01902,0.62754,0.53418,0.55925,0.35158,1.28907,0.94967,1.05541,0.000236839,0.000236839,0.000236839
151,59252.1,1.25006,0.87601,1.01863,0.62769,0.53368,0.55898,0.35154,1.2893,0.94966,1.0554,0.000231802,0.000231802,0.000231802
152,59643.4,1.25027,0.87512,1.01953,0.62596,0.53461,0.55908,0.35161,1.28941,0.94964,1.05537,0.000226843,0.000226843,0.000226843
153,60036.3,1.24098,0.86739,1.01597,0.62589,0.5366,0.5598,0.35198,1.28962,0.94966,1.05543,0.000221964,0.000221964,0.000221964
154,60433,1.25096,0.87647,1.01761,0.62833,0.53365,0.55926,0.35173,1.28999,0.94974,1.05548,0.000217166,0.000217166,0.000217166
155,60819.6,1.24983,0.87494,1.01964,0.62862,0.53321,0.5596,0.35187,1.29029,0.94981,1.05549,0.00021245,0.00021245,0.00021245
156,61205.5,1.24717,0.87216,1.01849,0.63142,0.53226,0.55942,0.35198,1.29062,0.94989,1.05553,0.000207817,0.000207817,0.000207817
157,61602.1,1.24518,0.87012,1.01728,0.63066,0.53365,0.55986,0.3521,1.29098,0.95,1.05558,0.000203269,0.000203269,0.000203269
158,62016.2,1.24748,0.86839,1.01948,0.63058,0.53402,0.55971,0.35197,1.29129,0.95006,1.05562,0.000198806,0.000198806,0.000198806
159,62419.6,1.24108,0.8648,1.01547,0.6276,0.53512,0.55927,0.35184,1.29164,0.9502,1.05571,0.00019443,0.00019443,0.00019443
160,62815.7,1.25124,0.87312,1.01924,0.62716,0.53711,0.55947,0.35197,1.29209,0.95039,1.05579,0.000190142,0.000190142,0.000190142
161,63191.4,1.20027,0.79191,1.00474,0.62575,0.53795,0.55906,0.35175,1.29261,0.95062,1.05598,0.000185942,0.000185942,0.000185942
162,63565.6,1.19181,0.78246,1.00206,0.62793,0.53638,0.55853,0.3517,1.29343,0.951,1.05628,0.000181833,0.000181833,0.000181833
163,63940,1.18823,0.77643,1.00026,0.63013,0.5358,0.55871,0.35161,1.29404,0.95118,1.05648,0.000177814,0.000177814,0.000177814
164,64313.6,1.18777,0.77583,1.00042,0.63512,0.53173,0.55835,0.35136,1.29472,0.95164,1.05665,0.000173887,0.000173887,0.000173887
